cavitynest_interactor,recorder,BBS_InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Seq,AOU
,,,,Grus,americana,Whooping Crane,Grue blanche,Grus americana,Gruiformes,Gruidae,301,2040
,,,,Himantopus,mexicanus,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,Charadriiformes,Recurvirostridae,304,2260
,,,,Recurvirostra,americana,American Avocet,Avocette d'Amérique,Recurvirostra americana,Charadriiformes,Recurvirostridae,305,2250
,,,,Haematopus,palliatus,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,Charadriiformes,Haematopodidae,307,2860
,,,,Haematopus,bachmani,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Charadriiformes,Haematopodidae,308,2870
,,,,Pluvialis,squatarola,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Charadriiformes,Charadriidae,311,2700
,,,,Pluvialis,dominica,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,Charadriiformes,Charadriidae,313,2720
,,,,Pluvialis,fulva,Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,Charadriiformes,Charadriidae,314,2721
tertiary,IH,10/4/2022-10/12/2022,"Jackson, B. J. and J. A. Jackson (2020). Killdeer (Charadrius vociferus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.killde.01",Charadrius,vociferus,Killdeer,Pluvier kildir,Charadrius vociferus,Charadriiformes,Charadriidae,316,2730
,,,,Charadrius,hiaticula,Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,Charadriiformes,Charadriidae,317,2750
,,,,Charadrius,semipalmatus,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,Charadriiformes,Charadriidae,318,2740
,,,,Charadrius,melodus,Piping Plover,Pluvier siffleur,Charadrius melodus,Charadriiformes,Charadriidae,319,2770
tertiary,JF,10/6/22,"Margo G. Zdravkovic, Carol A. Corbat, and Peter W. Bergstrom",Charadrius,wilsonia,Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,Charadriiformes,Charadriidae,323,2800
,,,,Charadrius,montanus,Mountain Plover,Pluvier montagnard,Charadrius montanus,Charadriiformes,Charadriidae,325,2810
,,,,Charadrius,nivosus,Snowy Plover,Pluvier neigeux,Charadrius nivosus,Charadriiformes,Charadriidae,326,2780
,,,,Bartramia,longicauda,Upland Sandpiper,Maubèche des champs,Bartramia longicauda,Charadriiformes,Scolopacidae,328,2610
,,,,Numenius,tahitiensis,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,Charadriiformes,Scolopacidae,329,2680
,,,,Numenius,phaeopus,Whimbrel,Courlis corlieu,Numenius phaeopus,Charadriiformes,Scolopacidae,330,2650
,,,,Numenius,americanus,Long-billed Curlew,Courlis à long bec,Numenius americanus,Charadriiformes,Scolopacidae,332,2640
,,,,Limosa,lapponica,Bar-tailed Godwit,Barge rousse,Limosa lapponica,Charadriiformes,Scolopacidae,336,2500
,,,,Limosa,haemastica,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,Charadriiformes,Scolopacidae,338,2510
,,,,Limosa,fedoa,Marbled Godwit,Barge marbrée,Limosa fedoa,Charadriiformes,Scolopacidae,339,2490
,,,,Arenaria,interpres,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,Charadriiformes,Scolopacidae,340,2830
,,,,Arenaria,melanocephala,Black Turnstone,Tournepierre noir,Arenaria melanocephala,Charadriiformes,Scolopacidae,341,2840
,,,,Calidris,canutus,Red Knot,Bécasseau maubèche,Calidris canutus,Charadriiformes,Scolopacidae,343,2340
,,,,Calidris,virgata,Surfbird,Bécasseau du ressac,Calidris virgata,Charadriiformes,Scolopacidae,344,2820
,,,,Calidris,pugnax,Ruff,Combattant varié,Calidris pugnax,Charadriiformes,Scolopacidae,345,2600
,,,,Calidris,acuminata,Sharp-tailed Sandpiper,Bécasseau à queue pointue,Calidris acuminata,Charadriiformes,Scolopacidae,347,2380
,,,,Calidris,himantopus,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,Charadriiformes,Scolopacidae,348,2330
,,,,Calidris,ruficollis,Red-necked Stint,Bécasseau à col roux,Calidris ruficollis,Charadriiformes,Scolopacidae,353,2422
,,,,Calidris,alba,Sanderling,Bécasseau sanderling,Calidris alba,Charadriiformes,Scolopacidae,354,2480
,,,,Calidris,alpina,Dunlin,Bécasseau variable,Calidris alpina,Charadriiformes,Scolopacidae,355,2430
,,,,Calidris,ptilocnemis,Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,Charadriiformes,Scolopacidae,356,2356
,,,,Calidris,maritima,Purple Sandpiper,Bécasseau violet,Calidris maritima,Charadriiformes,Scolopacidae,357,2350
,,,,Calidris,bairdii,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,Charadriiformes,Scolopacidae,358,2410
,,,,Calidris,minutilla,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,Charadriiformes,Scolopacidae,360,2420
,,,,Calidris,fuscicollis,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,Charadriiformes,Scolopacidae,361,2400
,,,,Calidris,subruficollis,Buff-breasted Sandpiper,Bécasseau roussâtre,Calidris subruficollis,Charadriiformes,Scolopacidae,362,2620
,,,,Calidris,melanotos,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,Charadriiformes,Scolopacidae,363,2390
,,,,Calidris,pusilla,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,Charadriiformes,Scolopacidae,364,2460
,,,,Calidris,mauri,Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,Charadriiformes,Scolopacidae,365,2470
,,,,Calidris,sp.,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Calidris sp.,Charadriiformes,Scolopacidae,366,2429
,,,,Limnodromus,griseus,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,Charadriiformes,Scolopacidae,367,2310
,,,,Limnodromus,scolopaceus,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,Charadriiformes,Scolopacidae,368,2320
,,,,Limnodromus,griseus / scolopaceus,unid. Short-billed / Long-billed Dowitcher,unid Bécassin roux / Bécassin à long bec,Limnodromus griseus / scolopaceus,Charadriiformes,Scolopacidae,369,2327
,,,,Scolopax,minor,American Woodcock,Bécasse d'Amérique,Scolopax minor,Charadriiformes,Scolopacidae,372,2280
,,,,Gallinago,delicata,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,Charadriiformes,Scolopacidae,376,2300
,,,,Actitis,hypoleucos,Common Sandpiper,Chevalier guignette,Actitis hypoleucos,Charadriiformes,Scolopacidae,378,2631
,,,,Actitis,macularius,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,Charadriiformes,Scolopacidae,379,2630
,,,,Tringa,solitaria,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,Charadriiformes,Scolopacidae,381,2560
,,,,Tringa,incana,Wandering Tattler,Chevalier errant,Tringa incana,Charadriiformes,Scolopacidae,383,2590
,,,,Tringa,flavipes,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,Charadriiformes,Scolopacidae,384,2550
,,,,Tringa,melanoleuca / flavipes,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Tringa melanoleuca / flavipes,Charadriiformes,Scolopacidae,385,2555
,,,,Tringa,semipalmata,Willet,Chevalier semipalmé,Tringa semipalmata,Charadriiformes,Scolopacidae,386,2580
,,,,Tringa,nebularia,Common Greenshank,Chevalier aboyeur,Tringa nebularia,Charadriiformes,Scolopacidae,388,2530
,,,,Tringa,melanoleuca,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,Charadriiformes,Scolopacidae,389,2540
,,,,Phalaropus,tricolor,Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,Charadriiformes,Scolopacidae,393,2240
,,,,Phalaropus,lobatus,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,Charadriiformes,Scolopacidae,394,2230
,,,,Stercorarius,pomarinus,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,Charadriiformes,Stercorariidae,399,360
,,,,Stercorarius,parasiticus,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,Charadriiformes,Stercorariidae,400,370
,,,,Stercorarius,longicaudus,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,Charadriiformes,Stercorariidae,401,380
,,,,Uria,aalge,Common Murre,Guillemot marmette,Uria aalge,Charadriiformes,Alcidae,403,300
,,,,Uria,lomvia,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,Charadriiformes,Alcidae,404,310
,,,,Uria,aalge / lomvia,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Uria aalge / lomvia,Charadriiformes,Laridae,405,315
,,,,Alca,torda,Razorbill,Petit Pingouin,Alca torda,Charadriiformes,Alcidae,406,320
,,,,Cepphus,grylle,Black Guillemot,Guillemot à miroir,Cepphus grylle,Charadriiformes,Alcidae,407,270
,,,,Cepphus,columba,Pigeon Guillemot,Guillemot colombin,Cepphus columba,Charadriiformes,Alcidae,408,290
,,,,Brachyramphus,marmoratus,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,Charadriiformes,Alcidae,410,230
,,,,Brachyramphus,brevirostris,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,Charadriiformes,Alcidae,411,240
,,,,Synthliboramphus,antiquus,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,Charadriiformes,Alcidae,415,210
,,,,Ptychoramphus,aleuticus,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Charadriiformes,Alcidae,416,160
,,,,Cerorhinca,monocerata,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,Charadriiformes,Alcidae,421,150
,,,,Fratercula,corniculata,Horned Puffin,Macareux cornu,Fratercula corniculata,Charadriiformes,Alcidae,423,140
,,,,Fratercula,cirrhata,Tufted Puffin,Macareux huppé,Fratercula cirrhata,Charadriiformes,Alcidae,424,120
,,,,Rissa,tridactyla,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Charadriiformes,Laridae,426,400
,,,,Xema,sabini,Sabine's Gull,Mouette de Sabine,Xema sabini,Charadriiformes,Laridae,429,620
,,,,Chroicocephalus,philadelphia,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Charadriiformes,Laridae,430,600
,,,,Chroicocephalus,ridibundus,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Charadriiformes,Laridae,432,551
,,,,Hydrocoloeus,minutus,Little Gull,Mouette pygmée,Hydrocoloeus minutus,Charadriiformes,Laridae,433,601
,,,,Rhodostethia,rosea,Ross's Gull,Mouette rosée,Rhodostethia rosea,Charadriiformes,Laridae,434,610
,,,,Leucophaeus,atricilla,Laughing Gull,Mouette atricille,Leucophaeus atricilla,Charadriiformes,Laridae,436,580
,,,,Leucophaeus,pipixcan,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Charadriiformes,Laridae,437,590
,,,,Larus,heermanni,Heermann's Gull,Goéland de Heermann,Larus heermanni,Charadriiformes,Laridae,440,570
,,,,Larus,canus,Mew Gull,Goéland cendré,Larus canus,Charadriiformes,Laridae,441,550
,,,,Larus,delawarensis,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,Charadriiformes,Laridae,442,540
,,,,Larus,occidentalis,Western Gull,Goéland d'Audubon,Larus occidentalis,Charadriiformes,Laridae,443,490
,,,,Larus,californicus,California Gull,Goéland de Californie,Larus californicus,Charadriiformes,Laridae,445,530
,,,,Larus,argentatus,Herring Gull,Goéland argenté,Larus argentatus,Charadriiformes,Laridae,446,510
,,,,Larus,glaucoides,Iceland Gull,Goéland arctique,Larus glaucoides,Charadriiformes,Laridae,448,430
,,,,Larus,fuscus,Lesser Black-backed Gull,Goéland brun,Larus fuscus,Charadriiformes,Laridae,449,500
,,,,Larus,schistisagus,Slaty-backed Gull,Goéland à manteau ardoisé,Larus schistisagus,Charadriiformes,Laridae,450,480
,,,,Larus,glaucescens,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,Charadriiformes,Laridae,451,440
,,,,Larus,occidentalis x glaucescens,hybrid Western Gull x Glaucous-winged Gull,hybride Goéland à ailes grises x d'Audubon,Larus occidentalis x glaucescens,Charadriiformes,Laridae,452,495
,,,,Larus,hyperboreus,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,Charadriiformes,Laridae,453,420
,,,,Larus,marinus,Great Black-backed Gull,Goéland marin,Larus marinus,Charadriiformes,Laridae,454,470
,,,,Gull,sp.,unid. gull,unid Goéland sp.,Gull sp.,Charadriiformes,Laridae,456,534
,,,,Onychoprion,aleuticus,Aleutian Tern,Sterne des Aléoutiennes,Onychoprion aleuticus,Charadriiformes,Laridae,463,730
,,,,Sternula,antillarum,Least Tern,Petite Sterne,Sternula antillarum,Charadriiformes,Laridae,464,740
,,,,Gelochelidon,nilotica,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,Charadriiformes,Laridae,466,630
,,,,Hydroprogne,caspia,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Charadriiformes,Laridae,467,640
,,,,Chlidonias,niger,Black Tern,Guifette noire,Chlidonias niger,Charadriiformes,Laridae,468,770
,,,,Sterna,dougallii,Roseate Tern,Sterne de Dougall,Sterna dougallii,Charadriiformes,Laridae,471,720
,,,,Sterna,hirundo,Common Tern,Sterne pierregarin,Sterna hirundo,Charadriiformes,Laridae,472,700
,,,,Sterna,paradisaea,Arctic Tern,Sterne arctique,Sterna paradisaea,Charadriiformes,Laridae,473,710
,,,,Sterna,forsteri,Forster's Tern,Sterne de Forster,Sterna forsteri,Charadriiformes,Laridae,474,690
,,,,Thalasseus,maximus,Royal Tern,Sterne royale,Thalasseus maximus,Charadriiformes,Laridae,475,650
,,,,Thalasseus,sandvicensis,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,Charadriiformes,Laridae,476,670
,,,,Thalasseus,elegans,Elegant Tern,Sterne élégante,Thalasseus elegans,Charadriiformes,Laridae,477,660
,,,,Tern,sp.,unid. tern,unid Sterne sp.,Tern sp.,Charadriiformes,Laridae,478,634
,,,,Rynchops,niger,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,Charadriiformes,Laridae,479,800
,,,,Gavia,stellata,Red-throated Loon,Plongeon catmarin,Gavia stellata,Gaviiformes,Gaviidae,484,110
,,,,Gavia,arctica,Arctic Loon,Plongeon arctique,Gavia arctica,Gaviiformes,Gaviidae,485,90
,,,,Gavia,pacifica,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Gaviiformes,Gaviidae,486,100
,,,,Gavia,immer,Common Loon,Plongeon huard,Gavia immer,Gaviiformes,Gaviidae,487,70
,,,,Gavia,adamsii,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,Gaviiformes,Gaviidae,488,80
,,,,Gavia,sp.,unid. loon,plongeon sp.,Gavia sp.,Gaviiformes,Gaviidae,489,77
,,,,Hydrobates,leucorhous,Leach's Storm-Petrel,Océanite cul-blanc,Hydrobates leucorhous,Procellariiformes,Hydrobatidae,506,1060
,,,,Fulmarus,glacialis,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,Procellariiformes,Procellariidae,516,860
,,,,Calonectris,diomedea,Cory's Shearwater,Puffin cendré,Calonectris diomedea,Procellariiformes,Procellariidae,538,880
,,,,Puffinus,puffinus,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Procellariiformes,Procellariidae,549,900
,,,,Mycteria,americana,Wood Stork,Tantale d'Amérique,Mycteria americana,Ciconiiformes,Ciconiidae,556,1880
,,,,Fregata,magnificens,Magnificent Frigatebird,Frégate superbe,Fregata magnificens,Suliformes,Fregatidae,558,1280
,,,,Sula,dactylatra,Masked Booby,Fou masqué,Sula dactylatra,Suliformes,Sulidae,560,1140
,,,,Sula,nebouxii,Blue-footed Booby,Fou à pieds bleus,Sula nebouxii,Suliformes,Sulidae,562,1141
,,,,Sula,leucogaster,Brown Booby,Fou brun,Sula leucogaster,Suliformes,Sulidae,563,1150
,,,,Morus,bassanus,Northern Gannet,Fou de Bassan,Morus bassanus,Suliformes,Sulidae,565,1170
,,,,Phalacrocorax,penicillatus,Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae,566,1220
,,,,Phalacrocorax,brasilianus,Neotropic Cormorant,Cormoran vigua,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae,567,1210
,,,,Phalacrocorax,auritus,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,Suliformes,Phalacrocoracidae,568,1200
,,,,Phalacrocorax,brasilianus / auritus,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran à aigrettes,Phalacrocorax brasilianus / auritus,Suliformes,Phalacrocoracidae,569,1205
,,,,Phalacrocorax,carbo,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,570,1190
,,,,Phalacrocorax,auritus / carbo,unid. Double-crested Cormorant / Great Cormorant,Cormoran à aigrettes / Grand Cormoran,Phalacrocorax auritus / carbo,Suliformes,Phalacrocoracidae,571,1206
,,,,Phalacrocorax,pelagicus,Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae,573,1230
,,,,Phalacrocorax,sp.,unid. west coast cormorant,unid Cormoran de la côte ouest,Phalacrocorax sp.,Suliformes,Phalacrocoracidae,574,1207
,,,,Anhinga,anhinga,Anhinga,Anhinga d'Amérique,Anhinga anhinga,Suliformes,Anhingidae,575,1180
,,,,Pelecanus,erythrorhynchos,American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae,576,1250
,,,,Pelecanus,occidentalis,Brown Pelican,Pélican brun,Pelecanus occidentalis,Pelecaniformes,Pelecanidae,577,1260
,,,,Botaurus,lentiginosus,American Bittern,Butor d'Amérique,Botaurus lentiginosus,Pelecaniformes,Ardeidae,579,1900
,,,,Ixobrychus,exilis,Least Bittern,Petit Blongios,Ixobrychus exilis,Pelecaniformes,Ardeidae,581,1910
tertiary,JF,9/27/22,Ross G. Vennesland and Robert W. Butler ,Ardea,herodias,Great Blue Heron,Grand Héron,Ardea herodias,Pelecaniformes,Ardeidae,583,1940
tertiary,JF,,,Ardea,herodias occidentalis,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Ardea herodias occidentalis,Pelecaniformes,Ardeidae,584,1920
,,,,Ardea,alba,Great Egret,Grande Aigrette,Ardea alba,Pelecaniformes,Ardeidae,586,1960
,,,,Egretta,garzetta,Little Egret,Aigrette garzette,Egretta garzetta,Pelecaniformes,Ardeidae,589,1961
,,,,Egretta,thula,Snowy Egret,Aigrette neigeuse,Egretta thula,Pelecaniformes,Ardeidae,591,1970
,,,,Egretta,caerulea,Little Blue Heron,Aigrette bleue,Egretta caerulea,Pelecaniformes,Ardeidae,592,2000
,,,,Egretta,tricolor,Tricolored Heron,Aigrette tricolore,Egretta tricolor,Pelecaniformes,Ardeidae,593,1990
,,,,Egretta,rufescens,Reddish Egret,Aigrette roussâtre,Egretta rufescens,Pelecaniformes,Ardeidae,594,1980
,,,,Bubulcus,ibis,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Pelecaniformes,Ardeidae,595,2001
,,,,Butorides,virescens,Green Heron,Héron vert,Butorides virescens,Pelecaniformes,Ardeidae,597,2010
,,,,Nycticorax,nycticorax,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Ardeidae,600,2020
,,,,Nyctanassa,violacea,Yellow-crowned Night-Heron,Bihoreau violacé,Nyctanassa violacea,Pelecaniformes,Ardeidae,601,2030
,,,,Nycticorax / Nyctanassa,nycticorax / violacea,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Nycticorax / Nyctanassa nycticorax / violacea,Pelecaniformes,Ardeidae,602,2035
,,,,Ardeid,sp.,unid. heron / egret,unid héron / aigrette sp.,Ardeid sp.,Pelecaniformes,Ardeidae,604,1945
,,,,Eudocimus,albus,White Ibis,Ibis blanc,Eudocimus albus,Pelecaniformes,Threskiornithidae,605,1840
,,,,Plegadis,falcinellus,Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,607,1860
,,,,Plegadis,chihi,White-faced Ibis,Ibis à face blanche,Plegadis chihi,Pelecaniformes,Threskiornithidae,608,1870
,,,,Plegadis,falcinellus / chihi,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Plegadis falcinellus / chihi,Pelecaniformes,Threskiornithidae,609,1861
,,,,Platalea,ajaja,Roseate Spoonbill,Spatule rosée,Platalea ajaja,Pelecaniformes,Threskiornithidae,610,1830
tertiary,EP,4/16/2019; checked 9/22/2022 - 9/26/2022,"Buckley, N. J., B. M. Kluever, R. Driver, and S. A. Rush (2022). Black Vulture (Coragyps atratus), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.blkvul.02",Coragyps,atratus,Black Vulture,Urubu noir,Coragyps atratus,Cathartiformes,Cathartidae,611,3260
tertiary,EP,9/29/2022,"Kirk, D. A. and M. J. Mossman (2020). Turkey Vulture (Cathartes aura), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.turvul.01",Cathartes,aura,Turkey Vulture,Urubu à tête rouge,Cathartes aura,Cathartiformes,Cathartidae,612,3250
,,,,Coragyps / Cathartes,atratus / aura,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Coragyps / Cathartes atratus / aura,Cathartiformes,Cathartidae,613,3255
,,,,Gymnogyps,californianus,California Condor,Condor de Californie,Gymnogyps californianus,Cathartiformes,Cathartidae,615,3240
tertiary,EP,9/30/2022 - 10/03/2022,"Bierregaard, R. O., A. F. Poole, M. S. Martell, P. Pyle, and M. A. Patten (2020). Osprey (Pandion haliaetus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.osprey.01",Pandion,haliaetus,Osprey,Balbuzard pêcheur,Pandion haliaetus,Accipitriformes,Pandionidae,617,3640
,,,,Elanus,leucurus,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,Accipitriformes,Accipitridae,618,3280
,,,,Chondrohierax,uncinatus,Hook-billed Kite,Bec-en-croc de Temminck,Chondrohierax uncinatus,Accipitriformes,Accipitridae,619,3271
,,,,Elanoides,forficatus,Swallow-tailed Kite,Naucler à queue fourchue,Elanoides forficatus,Accipitriformes,Accipitridae,621,3270
tertiary,EP,10/05/2022 - 10/06/2022,"Katzner, T. E., M. N. Kochert, K. Steenhof, C. L. McIntyre, E. H. Craig, and T. A. Miller (2020). Golden Eagle (Aquila chrysaetos), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.goleag.02",Aquila,chrysaetos,Golden Eagle,Aigle royal,Aquila chrysaetos,Accipitriformes,Accipitridae,624,3490
secondary,AH/EP,5/31/2022; 10/12/2022,"Smith, K. G., S. R. Wittenberg, R. B. Macwhirter, and K. L. Bildstein (2020). Northern Harrier (Circus hudsonius), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.",Circus,hudsonius,Northern Harrier,Busard des marais,Circus hudsonius,Accipitriformes,Accipitridae,629,3310
secondary,EP,4/4/2022 - 4/12/2022,"Bildstein, K. L., K. D. Meyer, C. M. White, J. S. Marks, and G. M. Kirwan (2020). Sharp-shinned Hawk (Accipiter striatus), version 1.0. In Birds of the World (S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.shshaw.01",Accipiter,striatus,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Accipitriformes,Accipitridae,631,3320
secondary,EP,4/12/2022,"Rosenfield, R. N., K. K. Madden, J. Bielefeldt, and O. E. Curtis (2020). Cooper's Hawk (Accipiter cooperii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.coohaw.01",Accipiter,cooperii,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Accipitriformes,Accipitridae,632,3330
secondary,EP,4/12/2022,"Squires, J. R., R. T. Reynolds, J. Orta, and J. S. Marks (2020). Northern Goshawk (Accipiter gentilis), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norgos.01",Accipiter,gentilis,Northern Goshawk,Autour des palombes,Accipiter gentilis,Accipitriformes,Accipitridae,634,3340
,,,,Accipiter,sp.,unid. Accipiter hawk,unid épervier sp.,Accipiter sp.,Accipitriformes,Accipitridae,635,3333
tertiary,EP,3/19/2019; checked 9/27/2022,"Buehler, D. A. (2020). Bald Eagle (Haliaeetus leucocephalus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.baleag.01",Haliaeetus,leucocephalus,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,637,3520
,,,,Ictinia,mississippiensis,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,Accipitriformes,Accipitridae,640,3290
,,,,Rostrhamus,sociabilis,Snail Kite,Milan des marais,Rostrhamus sociabilis,Accipitriformes,Accipitridae,644,3300
,,,,Buteogallus,anthracinus,Common Black Hawk,Buse noire,Buteogallus anthracinus,Accipitriformes,Accipitridae,645,3450
tertiary,EP,4/9/2019; checked 9/27/2022,"Dwyer, J. F. and J. C. Bednarz (2020). Harris's Hawk (Parabuteo unicinctus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.hrshaw.01",Parabuteo,unicinctus,Harris's Hawk,Buse de Harris,Parabuteo unicinctus,Accipitriformes,Accipitridae,649,3350
,,,,Geranoaetus,albicaudatus,White-tailed Hawk,Buse à queue blanche,Geranoaetus albicaudatus,Accipitriformes,Accipitridae,650,3410
,,,,Buteo,plagiatus,Gray Hawk,Buse grise,Buteo plagiatus,Accipitriformes,Accipitridae,652,3460
secondary,EP,4/7/22,"Dykstra, C. R., J. L. Hays, and S. T. Crocoll (2020). Red-shouldered Hawk (Buteo lineatus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.reshaw.01",Buteo,lineatus,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Accipitriformes,Accipitridae,653,3390
